,plddt,ptm,pdb_path,model,cluster,cluster_size
33,0.889504328,0.031958573,mesoricin2_b4283/pdb/model_2_ptm_cluster6_r0_seed0.pdb,model_2_ptm,6,9
34,0.896516927,0.031478442,mesoricin2_b4283/pdb/model_3_ptm_cluster6_r0_seed0.pdb,model_3_ptm,6,9
35,0.880794048,0.029836208,mesoricin2_b4283/pdb/model_4_ptm_cluster6_r0_seed0.pdb,model_4_ptm,6,9
36,0.878502317,0.031084271,mesoricin2_b4283/pdb/model_5_ptm_cluster6_r0_seed0.pdb,model_5_ptm,6,9
37,0.860191539,0.030407667,mesoricin2_b4283/pdb/model_1_ptm_cluster7_r0_seed0.pdb,model_1_ptm,7,4
38,0.883320548,0.031545013,mesoricin2_b4283/pdb/model_2_ptm_cluster7_r0_seed0.pdb,model_2_ptm,7,4
39,0.891347535,0.030649057,mesoricin2_b4283/pdb/model_3_ptm_cluster7_r0_seed0.pdb,model_3_ptm,7,4
40,0.908022337,0.032087591,mesoricin2_b4283/pdb/model_4_ptm_cluster7_r0_seed0.pdb,model_4_ptm,7,4
41,0.880042501,0.03191977,mesoricin2_b4283/pdb/model_5_ptm_cluster7_r0_seed0.pdb,model_5_ptm,7,4
42,0.864059314,0.030056527,mesoricin2_b4283/pdb/model_1_ptm_cluster8_r0_seed0.pdb,model_1_ptm,8,11
43,0.901467659,0.031481698,mesoricin2_b4283/pdb/model_2_ptm_cluster8_r0_seed0.pdb,model_2_ptm,8,11
44,0.909412958,0.031110877,mesoricin2_b4283/pdb/model_3_ptm_cluster8_r0_seed0.pdb,model_3_ptm,8,11
45,0.916958936,0.031863421,mesoricin2_b4283/pdb/model_4_ptm_cluster8_r0_seed0.pdb,model_4_ptm,8,11
46,0.886461906,0.031655092,mesoricin2_b4283/pdb/model_5_ptm_cluster8_r0_seed0.pdb,model_5_ptm,8,11
47,0.818350732,0.029042104,mesoricin2_b4283/pdb/model_1_ptm_cluster9_r0_seed0.pdb,model_1_ptm,9,4
48,0.871791944,0.03156757,mesoricin2_b4283/pdb/model_2_ptm_cluster9_r1_seed0.pdb,model_2_ptm,9,4
49,0.871791944,0.03156757,mesoricin2_b4283/pdb/model_2_ptm_cluster9_r1_seed0.pdb,model_2_ptm,9,4
50,0.878361873,0.029744646,mesoricin2_b4283/pdb/model_3_ptm_cluster9_r0_seed0.pdb,model_3_ptm,9,4
51,0.859678388,0.029173572,mesoricin2_b4283/pdb/model_4_ptm_cluster9_r0_seed0.pdb,model_4_ptm,9,4
52,0.883717231,0.032595135,mesoricin2_b4283/pdb/model_5_ptm_cluster9_r1_seed0.pdb,model_5_ptm,9,4
53,0.883717231,0.032595135,mesoricin2_b4283/pdb/model_5_ptm_cluster9_r1_seed0.pdb,model_5_ptm,9,4
